ano_eje;sec_ejec;pliego;ejecutora;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje
2018;301280;;;1;5;08;0;1;1; 2; 1; 2; 1;19936172;6332798;26268970;1787419.42;3991753.11;3094916.12;1846586.71;2113865.85;3004187.38;2626829.67;1665580.17;4454739.46;1647742.07;2690956.07;3042455.59;31967031.62;-5698061.62;121.69
2018;301280;;;1;5;08;0;1;1; 3; 3; 3; 1;1359804;0;1359804;46213.59;65562.01;93652.02;57783.3;81834.4;56929.11;55854.57;48783.34;85703.55;46835.14;68068.89;77878.13;785098.05;574705.95;57.74
2018;301280;;;1;5;08;0;1;1; 3; 3; 3; 4;297379;0;297379;30529.23;0;15841.85;44155.41;18342.48;9805.52;7898.09;19287.22;3329.48;16764.55;66525.87;2125.91;234605.61;62773.39;78.89
2018;301280;;;1;5;08;0;1;1; 3; 3; 3; 5;6843457;0;6843457;435362.63;453814.72;411460.88;385073.91;493212.7;462078.69;460035.29;491088.75;436813.22;392614.3;464537.96;422902.37;5308995.42;1534461.58;77.58
2018;301280;;;1;5;08;0;1;1; 5; 2; 1; 1;183695;0;183695;216890.25;202434.17;250737.48;319179.6;64945.16;16350.89;8930.09;10239.08;4978.41;12891.09;18290.34;28699.19;1154565.75;-970870.75;628.52
2018;301280;;;1;5;08;0;1;5; 1; 1; 1; 1;0;90378;90378;15362.05;17268.17;32542.91;7903.57;5393.98;6625.74;2279.1;1737.11;1265.26;1654.94;42726.46;11965.65;146724.94;-56346.94;162.35
2018;301280;;;1;5;08;0;1;9; 1; 1; 1; 1;10467136;7289808;17756944;15383435.6;-40200.48;-67824.88;1847405.44;-32760.55;-30278.77;-31612.39;-50816.39;-15570.23;0;-9295.09;-4778.95;16947703.31;809240.69;95.44
2018;301280;;;1;5;18;0;1;4; 1; 4; 1; 3;6092;0;6092;0;0;0;0;0;0;7952.21;0;0;0;0;0;7952.21;-1860.21;130.54
2018;301280;;;1;5;18;0;1;4; 1; 4; 1; 5;4721;0;4721;549.8;549.8;549.8;549.8;549.85;0;910.52;455.26;455.26;455.26;455.26;455.26;5935.87;-1214.87;125.73
2018;301280;;;1;5;18;0;1;4; 1; 4; 1; 6;0;0;0;0;0;0;12.59;0;0;0;0;1.32;0;0;0;13.91;-13.91;0
2018;301280;;;1;5;18;0;1;4; 1; 4; 2; 1;2054;0;2054;775.25;0;0;686.74;0;0;807.57;0;0;819.62;33.19;0;3122.37;-1068.37;152.01
2018;301280;;;1;5;18;0;1;4; 1; 4; 6; 3;0;200696;200696;0;0;0;124482;0;0;0;0;0;76214;0;0;200696;0;100
2018;301280;;;1;5;18;0;1;5; 1; 1; 1; 1;0;1268;1268;276.11;196.38;198.56;203.59;192.76;200.72;0;0;0;0;1048.69;213.15;2529.96;-1261.96;199.52
2018;301280;;;1;5;18;0;1;9; 1; 1; 1; 1;0;368272;368272;368271.53;0;0;0;0;0;0;0;0;0;0;0;368271.53;0.47;100
2020;301280;;;;2;;;1;1; 5; 3; 1; 1;505548;0;505548;27821.28;138155.06;38334.13;244.4;863.13;5119.8;14862.99;35299.71;46035.03;58967.64;168684.14;40902.08;575289.39;-69741.39;113.8
2020;301280;;;;2;;;1;1; 5; 3; 2; 1;4087294;0;4087294;459872.62;312503.42;104575.62;7669.36;45873.7;58858.36;199827.06;187702.33;185882.53;194142.99;339823.98;283457.2;2380189.17;1707104.83;58.23
2020;301280;;;;2;;;1;2; 1; 1; 1; 1;0;0;0;0;1165.74;-1165.74;0;0;0;0;0;0;0;0;0;0;0;0
2020;301280;;;;2;;;1;3; 1; 9; 1; 2;2592;0;2592;0;0;0;0;0;0;0;0;0;4.7;0;5.1;9.8;2582.2;0.38
